Filet de poulet,filet de poulet
Filet de poulet,escalope de poulet
Cuisse de poulet,Cuisse de poulet jaune
Poulet fermier,Poulet entier fermier
Aiguillettes de dinde,aiguillettes dinde
Nuggets,nuggets poulet
Cordon bleu,Cordon bleu
Escalopes de dinde,escalopes dinde
Blanc de dinde (tranches),Tranches blanc de dinde
Steak haché bœuf,Steak haché boeuf
Rôti de bœuf,Rôti boeuf
Tournedos bœuf,Tournedos boeuf
Entrecôte bœuf,Entrecôte boeuf
Escalope de veau,Escalope veau
Sauté de veau,Sauté de veau
Magret de canard,Magret canard
Confit de canard,Confit de canard cuisse
Rôti de porc,Rôti porc tranches
Filet mignon de porc,Filet mignon à rôtir
Côtes de porc,Côtes de porc
Jambon blanc,jambon à l'étouffée
Jambon cru,tranches jambon cru italien
Lardons,Lardons nature
Poitrine fumée / bacon,Poitrine fumée
Rillettes,Rillettes
Saucisse de Strasbourg / Knacki,knacks porc
Chipolatas,Chipolata supérieure
Merguez,Merguez boeuf
Saucisson sec,Saucisson sec pur porc
Gigot d'agneau,Gigot d'agneau
Côtes d'agneau,Côte d'agneau
Lapin,filets de lapin carrefour
Thon (conserve),Conserve thon entier
Thon frais,Thon frais albacore tranche
Pavé de saumon,Saumon pavé
Saumon fumé,Saumon fumé tranches
Truité fumée,Truite fumée tranches
Dos de cabillaud,Dos de cabillaud barquette
Filet de limande,Filet de limande
Maquereau (conserve),conserve filets de maquereaux
Maquereau frais,Filets de maquereaux frais
Sardines (conserve),Sardine conserve
Sardines fraiches,Sardine frais
Colin pané,Panés de colin
Crevettes entières,Crevettes entières cuites
Anchois,Filets d'anchois
Noix de saint-jacques,Noix de saint-jacques
Bâtonnets de surimi,Bâtonnets surimi
Œufs,Boîte oeufs frais poule
Fromage frais,fromage frais nature à tartiner
Fromage blanc nature,Fromage blanc nature
Petits‑suisses,Petits suisses nature
Yaourt nature 0%,Yaourt nature 0% MG malo
Yaourt nature 0%,Yaourt nature 0% MG bio vrai
Yaourt aromatisé aux fruits,Yaourts aux fruits mixes
Skyr,Skyr yoplait
Skyr,Skyr siggis
Lait demi écrémé,Lait UHT demi écrémé
Lait entier,Lait UHT entier
Parmesan rapé,Parmesan rapé
Emmental,Emmental fondant
Camembert,camembert boite
Fromage à raclette,Fromage à raclette
Mozzarella, Mozzarella AOP
Bûche de chèvre,Chèvre bûche
Comté,Comté part
Coulommiers,Coulommiers
Brie,Brie
Roquefort,Roquefort
Feta,Feta grecque
Lentilles vertes,Lentilles vertes sachet 1kg
Lentilles vertes (conserve),Lentilles préparées
Lentilles blondes,Lentilles blondes
Lentilles corail,Lentilles corail paquet 500g
Pois chiches,pois chiches paquet 500g
Pois chiches (conserve),Pois chiches égoutté
Haricots rouges,Haricots rouges paquet
Haricots rouges (conserve),Haricots rouges égoutté
Flageolets,Flageolets grain de frais
Flageolets (conserve),Flageolets égoutté
Haricots blancs,Haricots blancs lingots
Haricots blancs (conserve),Haricots blancs cuits
Haricots noirs,Haricots noirs 1kg
Haricots noirs (conserve),Haricot Noirs Cuisson Vapeur D'AUCY
Haricots noirs (conserve),Haricots noirs cuits COMPAL
Haricots noirs (conserve),Légumes cuisinés haricots noirs entiers LA COSTENA
Fèves,Fèves Séchées LEGUMOR
Lupin (conserve),Lupin bocal
Pois cassés,Pois cassés 500g
Pois cassés,Pois cassés 1kg
Pois cassés,Pois cassés vrac
Falafels,Falafels pois chiche
Falafels (poudre),Falafel ALNATURA
Galettes de légumineuses,2 Galettes légumineuses
Galettes de légumineuses,Galettes légumineuses barquette
Tofu (ferme) nature,tofu nature
Tofu (ferme) fumé,tofu fumé
Tempeh,Tempeh
Protéines de soja texturées,Intracma - Protéines De Soja Texturées 400 G
Protéines de soja texturées,El Granero Integral - Soja À Texture Grosse 250 G
Quinoa,Quinoa 400g
Seitan,Seitan
Avoine (flocons),Flocons d'avoine complet
Son d'avoine,Son d'avoine 500g
Sarrasin,Sarrasin décortiqué
Amarante,Amarante Bio En Vrac 1 Kg VRACBIO
Germe de blé,Germe de blé
Graines de chia,Graines de chia sachet
Graines de courge,Graines de courge 250g
Graines de tournesol,Graines de tournesol grillées
Graines de tournesol,Graines de tournesol décortiquées
Graines de lin,Graines de lin brun
Graines de lin,Graines de lin doré
Pignons de pin,Pignons de pin
Noix de cajou,Noix de cajou vrac
Noix de cajou,Noix de cajou grillées
Amandes,Amandes décortiquées
Pistaches,Pistaches grillées
Cacahuètes,Cacahuètes grillées
Beurre de cacahuète,Beurre de cacahuètes crunchy
Beurre de cacahuète,Beurre de cacahuètes crémeux
Noisettes,Noisettes décortiquées sachet
Isolat de whey,whey isolat
Protéines végétales poudre,Protéines végétales poudre
Barres protéinées,Barre individuelle protéine
Steak végétal,steak végé
Steak végétal surgelé,steak végétal surgelé
Steak végétal surgelé,Végetal burgers CARREFOUR SENSATION
Nuggets végétaux,Nuggets végétaux
Nuggets végétaux (surgelé),Nuggets végétaux surgelé
Suprème de faux poulet,suprême végétal
Escalopes végétales panées,Plat Cuisiné Panée Soja 100% Végétal GARDEN GOURMET
Escalopes végétales panées,Panés végétal blé CARREFOUR SENSATION
Escalopes végétales panées,Suprêmes panés végétaux et gourmand HAPPYVORE
Escalopes végétales panées,Préparation Végétale Panés 100% Végétal BETTER BALANCE
Saucisses végétales,Saucisses végétales
Lardons végétaux,Lardons végétaux
Jambon végétal,Jambon végétal
Boulettes végétales,Boulettes végétales
Knax végétales,Knax végétales
Knax végétales,Knacks végé
Aiguillettes végétales,Aiguillettes végétales
Bâtonnets "poisson" panés végétaux,Bâtonnets panés végétaux
Galette végétale (céréales),pavé végé
