Filet de poulet,Filet de poulet blanc
Cuisse de poulet,Cuisse de poulet
Poulet fermier,poulet entier fermier
Nuggets,Nuggets poulet
Cordon bleu,Cordon bleu
Escalopes de dinde,escalope de dinde
Blanc de dinde (tranches),blanc de dinde doré
Steak haché boeuf,steak haché pur boeuf
Entrecôte boeuf,Entrecôte de boeuf
Escalope de veau,Escalope veau
Magret de canard,Magret de canard gras
Confit de canard,Canard confit cuisse
Rôti de porc,Rôti porc Fleury Michon
Rôti de porc,Rôti porc Ranou
Filet mignon de porc,Filet mignon porc boucher
Côtes de porc,Côte de porc
Jambon blanc,Jambon blanc tranches
Jambon cru,Jambon cru tranches
Lardons,Lardons nature
Poitrine fumée / bacon,Poitrine fumée
Rillettes,Rillettes porc
Saucisse de Strasbourg / Knacki,Saucisses de Strasbourg
Chipolatas,Chipolatas
Merguez,Petit prix Merguez
Merguez,Merguez Jean Rozé
Merguez,Merguez boucher
Saucisson sec,Le saucisson sec
Gigot d'agneau,Gigot d'agneau
Côtes d'agneau,côte agneau échine
Thon (conserve),Conserve thon entier
Pavé de saumon,Pavés saumon
Saumon fumé,Saumon fumé Ecosse
Saumon fumé,Saumon fumé Norvège
Truité fumée,Truite fumée
Dos de cabillaud,Dos de cabillaud Producteurs
Filet de limande,Filet de limande
Maquereau (conserve),maquereaux conserve
Sardines (conserve),Sardines conserve
Colin pané,Panés de colin
Crevettes entières,Crevettes entières
Anchois, Anchois marinés
Noix de saint-jacques,Noix de saint-jacques sans corail
Noix de saint-jacques,Noix de saint-jacques avec corail
Bâtonnets de surimi,Bâtonnets surimi
Œufs,Boîte oeufs frais
Fromage blanc nature,Fromage blanc nature
Petits-suisses,Petits suisses nature
Yaourt nature 0%,Yaourt nature 0%
Skyr,Skyr
Lait demi ecrémé,lait demi écrémé UHT
Lait entier,Lait entier UHT
Parmesan rapé,Parmigiano reggiano
Emmental,Emmental français
Camembert,Camembert 250g
Fromage à raclette,Fromage à raclette
Mozzarella,Mozarella galbani
Bûche de chèvre,Chèvre bûche
Comté,Comté AOP
Coulommiers,Coulommiers
Brie,Brie
Roquefort,Roquefort lait cru
Feta,Feta grecque
Lentilles vertes,Lentilles vertes sec paquet
Lentilles vertes (conserve),Lentilles conserve
Lentilles blondes,Lentilles blondes
Lentilles corail,lentilles corail BIO paquet
Pois chiches,Pois chiches
Pois chiches (conserve),Pois chiches conserve
Haricots rouges (conserve),Haricots rouges conserve
Flageolets,Flageolets verts
Flageolets (conserve),Flageolets conserve
Haricots blancs,Haricots blancs cacarola
Haricots blancs (conserve),Haricots blancs conserve
Haricots noirs (conserve),Haricots noirs
Pois cassés,Pois cassés
Falafels,Falafels
Tofu (ferme) nature,Tofu nature
Tofu (ferme) fumé,Tofu fumé
Quinoa,Quinoa blond
Avoine (flocons),Flocons avoine
Graines de chia,Graines de chia happy
Graines de courge,Graines de courge vrac
Graines de courge,Graines de courge happy
Graines de tournesol,Graines de tournesol grillées
Pignons de pin,Pignons de pin
Noix de cajou,Noix de cajou grillées
Amandes,Amandes décortiquées
Pistaches,Pistaches grillées
Cacahuètes,Cacahuètes grillées
Beurre de cacahuète,Beurre de cacahuètes creamy
Beurre de cacahuète,Beurre de cacahuètes crunchy
Noisettes,Noisettes décortiquées
Barres protéinées,Barre protéinée
Steak végétal,Steak végétal
Steak végétal surgelé,Steak végétal surgelé
Nuggets végétaux,Nuggets végétal
Nuggets végétaux (surgelé),Nuggets végétaux
Escalopes végétales panées,Escalopes végétales panées
Saucisses végétales,Saucisses végétales
Boulettes végétales,Boulettes végétales
Galette végétale (céréales),Galettes boulgour
Galette végétale (céréales),Galettes quinoa
